controller_id,source_row,canonical_model_code,display_name_evidence,network_evidence,uid_or_address_evidence,lor_network,lor_uid_start_hex,lor_uid_count,lor_uid_end_hex,management_ip,for_what_evidence
1166,32,Pixie2D,PO-MailBox,Aux-I,25-26,Aux I,25,2,26,,Sides of mailbox
1167,17,HolidayCoro Flex 48,WA-MegaCube,E1.31,10.10.5.12,,,,,10.10.5.12,10.10.5.12
1168,100,PixCon16,SW-GiftBag,E1.31,IP,,,,,10.10.5.19,10.10.5.19
1169,101,PixCon16,SW-GiftConveyor,E1.31,IP,,,,,10.10.5.18,10.10.5.18
1170,66,CMB24D,FF 10 Head LS,Reg,10,Regular,10,1,10,,Free Frosty Channels 01-24 8 outputs on CMB24D UID10
1171,67,CF50D,FF 19 CR50 Base LH Spotlight,Reg,18,Regular,18,1,18,,Free Frosty 50 watt Flood up to 5 channels 1-2-3=R-G-B
1172,68,CF50D,FF 19 CR50 Base RH Spotlight,Reg,19,Regular,19,1,19,,Group 1 50 watt Flood up to 5 channels 1-2-3=R-G-B
1173,69,CF50D,FF 19 CR50 Front Spotlight,Reg,19,Regular,19,1,19,,Group 2 50 watt Flood up to 5 channels 1-2-3=R-G-B
1174,74,CTB32,WW-IcicleTunnel,Reg,3F,Regular,3F,1,3F,,
1175,151,CTB32,TC-FryingSantaGrill,Reg,7D,Regular,7D,1,7D,,deer and Grillin santa
1176,9,PixCon16,FE-OpenCloseSign-Matrix,E1.31,IP,,,,,10.10.5.20,10.10.5.20
1177,70,CTB32,WW-ClarkGriswold,Reg,39,Regular,39,1,39,,
